time,S_left_half,S_right_half,S_center,S_edges
0.0,-0.0,-0.0,-0.0,-0.0
0.10526315789473684,2.4729637940926934e-06,2.4729637940926934e-06,2.4729637940926934e-06,2.4729637940926934e-06
0.21052631578947367,0.00011187674411692365,0.00011187674411692365,0.00011187674411692365,0.00011187674411692365
0.3157894736842105,0.0009317405958446859,0.0009317405958446859,0.0009317405958446859,0.0009317405958446859
0.42105263157894735,0.003808003501110282,0.003808003501110282,0.003808003501110282,0.003808003501110282
0.5263157894736842,0.010397068147362017,0.010397068147362017,0.010397068147362017,0.010397068147362017
0.631578947368421,0.021798776797817523,0.021798776797817523,0.021798776797817523,0.021798776797817523
0.7368421052631579,0.037876725456322057,0.037876725456322057,0.037876725456322057,0.037876725456322057
0.8421052631578947,0.057185462279272285,0.057185462279272285,0.057185462279272285,0.057185462279272285
0.9473684210526315,0.07747849605479208,0.07747849605479208,0.07747849605479208,0.07747849605479208
1.0526315789473684,0.09646916335342416,0.09646916335342416,0.09646916335342416,0.09646916335342416
1.1578947368421053,0.11248849293749628,0.11248849293749628,0.11248849293749628,0.11248849293749628
1.263157894736842,0.1248355758521336,0.1248355758521336,0.1248355758521336,0.1248355758521336
1.3684210526315788,0.13379512797698687,0.13379512797698687,0.13379512797698687,0.13379512797698687
1.4736842105263157,0.14040787629416407,0.14040787629416407,0.14040787629416407,0.14040787629416407
1.5789473684210527,0.14610892852373153,0.14610892852373153,0.14610892852373153,0.14610892852373153
1.6842105263157894,0.1523378074607439,0.1523378074607439,0.1523378074607439,0.1523378074607439
1.789473684210526,0.16020975261957032,0.16020975261957032,0.16020975261957032,0.16020975261957032
1.894736842105263,0.1703223359699549,0.1703223359699549,0.1703223359699549,0.1703223359699549
2.0,0.18273531055281006,0.18273531055281006,0.18273531055281006,0.18273531055281006
