alpha,cohens_d
1.0,1.2727956612278302
1.0526315789473684,0.12802920378590882
1.1052631578947367,0.12802920378590868
1.1578947368421053,0.1280292037859087
1.2105263157894737,0.1280292037859087
1.263157894736842,0.1280292037859086
1.3157894736842106,0.12802920378590874
1.368421052631579,0.12802920378590865
1.4210526315789473,0.1280292037859087
1.4736842105263157,0.1280292037859088
1.526315789473684,0.12802920378590862
1.5789473684210527,0.1280292037859086
1.631578947368421,0.12802920378590874
1.6842105263157894,0.1280292037859087
1.736842105263158,0.1280292037859088
1.7894736842105263,0.12802920378590874
1.8421052631578947,0.12802920378590874
1.894736842105263,0.1280292037859087
1.9473684210526314,0.1280292037859087
2.0,0.1280292037859087
