time,L1,L2,LC,C,RC,R2,R1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06896551724137931,2.2797466194346467e-07,2.2797466194346467e-07,2.2797466194346467e-07,2.2797466194346467e-07,2.2797466194346467e-07,2.2797466194346467e-07,2.2797466194346467e-07
0.13793103448275862,1.113798848442393e-05,1.113798848442393e-05,1.113798848442393e-05,1.113798848442393e-05,1.113798848442393e-05,1.113798848442393e-05,1.113798848442393e-05
0.20689655172413793,0.00010190627490024963,0.00010190627490024963,0.00010190627490024963,0.00010190627490024963,0.00010190627490024963,0.00010190627490024963,0.00010190627490024963
0.27586206896551724,0.00046606020988653954,0.00046606020988653954,0.00046606020988653954,0.00046606020988653954,0.00046606020988653954,0.00046606020988653954,0.00046606020988653954
0.3448275862068966,0.0014485075962320571,0.0014485075962320571,0.0014485075962320571,0.0014485075962320571,0.0014485075962320571,0.0014485075962320571,0.0014485075962320571
0.41379310344827586,0.0035085090932750105,0.0035085090932750105,0.0035085090932750105,0.0035085090932750105,0.0035085090932750105,0.0035085090932750105,0.0035085090932750105
0.48275862068965514,0.007127365390494312,0.007127365390494312,0.007127365390494312,0.007127365390494312,0.007127365390494312,0.007127365390494312,0.007127365390494312
0.5517241379310345,0.012692472879005181,0.012692472879005181,0.012692472879005181,0.012692472879005181,0.012692472879005181,0.012692472879005181,0.012692472879005181
0.6206896551724138,0.020395925430227325,0.020395925430227325,0.020395925430227325,0.020395925430227325,0.020395925430227325,0.020395925430227325,0.020395925430227325
0.6896551724137931,0.030177252005640195,0.030177252005640195,0.030177252005640195,0.030177252005640195,0.030177252005640195,0.030177252005640195,0.030177252005640195
0.7586206896551724,0.041722808411866166,0.041722808411866166,0.041722808411866166,0.041722808411866166,0.041722808411866166,0.041722808411866166,0.041722808411866166
0.8275862068965517,0.05451680661131073,0.05451680661131073,0.05451680661131073,0.05451680661131073,0.05451680661131073,0.05451680661131073,0.05451680661131073
0.896551724137931,0.06792676633431341,0.06792676633431341,0.06792676633431341,0.06792676633431341,0.06792676633431341,0.06792676633431341,0.06792676633431341
0.9655172413793103,0.08130147065534596,0.08130147065534596,0.08130147065534596,0.08130147065534596,0.08130147065534596,0.08130147065534596,0.08130147065534596
1.0344827586206897,0.09406141201063184,0.09406141201063184,0.09406141201063184,0.09406141201063184,0.09406141201063184,0.09406141201063184,0.09406141201063184
1.103448275862069,0.10576773492431298,0.10576773492431298,0.10576773492431298,0.10576773492431298,0.10576773492431298,0.10576773492431298,0.10576773492431298
1.1724137931034482,0.11616301648698107,0.11616301648698107,0.11616301648698107,0.11616301648698107,0.11616301648698107,0.11616301648698107,0.11616301648698107
1.2413793103448276,0.12518359476339028,0.12518359476339028,0.12518359476339028,0.12518359476339028,0.12518359476339028,0.12518359476339028,0.12518359476339028
1.3103448275862069,0.13294723945130565,0.13294723945130565,0.13294723945130565,0.13294723945130565,0.13294723945130565,0.13294723945130565,0.13294723945130565
1.3793103448275863,0.13972156816748924,0.13972156816748924,0.13972156816748924,0.13972156816748924,0.13972156816748924,0.13972156816748924,0.13972156816748924
1.4482758620689655,0.14587854211097884,0.14587854211097884,0.14587854211097884,0.14587854211097884,0.14587854211097884,0.14587854211097884,0.14587854211097884
1.5172413793103448,0.15183989668743042,0.15183989668743042,0.15183989668743042,0.15183989668743042,0.15183989668743042,0.15183989668743042,0.15183989668743042
1.5862068965517242,0.15801848626599538,0.15801848626599538,0.15801848626599538,0.15801848626599538,0.15801848626599538,0.15801848626599538,0.15801848626599538
1.6551724137931034,0.16476143662888446,0.16476143662888446,0.16476143662888446,0.16476143662888446,0.16476143662888446,0.16476143662888446,0.16476143662888446
1.7241379310344827,0.17230203802969382,0.17230203802969382,0.17230203802969382,0.17230203802969382,0.17230203802969382,0.17230203802969382,0.17230203802969382
1.793103448275862,0.1807274455077388,0.1807274455077388,0.1807274455077388,0.1807274455077388,0.1807274455077388,0.1807274455077388,0.1807274455077388
1.8620689655172413,0.18996774441257835,0.18996774441257835,0.18996774441257835,0.18996774441257835,0.18996774441257835,0.18996774441257835,0.18996774441257835
1.9310344827586206,0.1998087735682019,0.1998087735682019,0.1998087735682019,0.1998087735682019,0.1998087735682019,0.1998087735682019,0.1998087735682019
2.0,0.20992699819518312,0.20992699819518312,0.20992699819518312,0.20992699819518312,0.20992699819518312,0.20992699819518312,0.20992699819518312
