time,C_fidelity_based,C_klocal,C_spread
0.0,-0.0,0.0,-0.0
0.06896551724137931,0.009404501692907607,3.408553049598362e-06,0.10503622008716094
0.13793103448275862,0.03634228179290765,0.00016024424111242788,0.3345622310612407
0.20689655172413793,0.07714057282135793,0.0013895234296865538,0.6254246909301026
0.27586206896551724,0.12621108160045605,0.00593078596435595,0.9327080381481193
0.3448275862068966,0.1768837922113741,0.016949457652483402,1.2212007376386058
0.41379310344827586,0.22254804683408252,0.03722681277441469,1.4646987507585527
0.48275862068965514,0.25790789652403795,0.06769501090568347,1.6457332089274086
0.5517241379310345,0.28001353764201575,0.10666370318079174,1.7552114764541038
0.6206896551724138,0.28872154577122267,0.1501336129781002,1.7922055165165456
0.6896551724137931,0.2864274799037234,0.19299886111769837,1.763971096194052
0.7586206896551724,0.27720287912461716,0.23056405185247592,1.6859161729640277
0.8275862068965517,0.2656651131150366,0.25977726888650243,1.581067701324418
0.896551724137931,0.25591704285251776,0.2798240486674625,1.4789848458030532
0.9655172413793103,0.2507729192619155,0.2920553260977582,1.4146259213598944
1.0344827586206897,0.2513526228719941,0.2994582112968184,1.4243135407974132
1.103448275862069,0.25704330284085297,0.3059338118490103,1.4971350864598825
1.1724137931034482,0.2657914683738849,0.3155549684443479,1.597895018934052
1.2413793103448276,0.27466352793149296,0.33186032212115374,1.6988137032733577
1.3103448275862069,0.28057161694619936,0.357211020589823,1.7801868990512146
1.3793103448275863,0.2810098347810855,0.39230205326693934,1.8286262948608862
1.4482758620689655,0.2746204424345225,0.43598596769794656,1.8367314004792301
1.5172413793103448,0.261447377738281,0.4855293548016434,1.803195746667798
1.5862068965517242,0.24283348103616567,0.5372767377086712,1.7326270440635212
1.6551724137931034,0.2210299615755585,0.5875355863540916,1.634764228670503
1.7241379310344827,0.19865695518588605,0.6334173978089659,1.5230715697377
1.793103448275862,0.1781630721135114,0.6733973884815245,1.4125721764087156
1.8620689655172413,0.1613983929829156,0.7074511964274451,1.315764158960041
1.9310344827586206,0.14936872507209062,0.7367604637049275,1.2417669563441496
2.0,0.14219560954921912,0.7631379872731906,1.196464419837485
