time,tiny_left,tiny_center,tiny_right,small_left,small_center,small_right,medium_left,medium_center,medium_right,large_left,large_right
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06896551724137931,2.2855327269950853e-07,2.2855327269950853e-07,2.2855327269950853e-07,2.2797466194346467e-07,2.2797466194346467e-07,2.2797466194346467e-07,1.1149483216071885e-06,1.3288094357444127e-06,1.1149483216139337e-06,2.884427617012951e-06,2.884427617029344e-06
0.13793103448275862,1.1249573599219185e-05,1.1249573599219185e-05,1.1249573599219185e-05,1.113798848442393e-05,1.113798848442393e-05,1.113798848442393e-05,5.420866053149843e-05,6.439438846855675e-05,5.4208660531480396e-05,0.000140074493142559,0.00014007449314268369
0.20689655172413793,0.00010417926909280233,0.00010417926909280233,0.00010417926909280233,0.00010190627490024963,0.00010190627490024963,0.00010190627490024963,0.0004943127986255676,0.0005848083970193399,0.0004943127986255562,0.0012761809504799552,0.001276180950479873
0.27586206896551724,0.0004843694614294183,0.0004843694614294183,0.0004843694614294183,0.00046606020988653954,0.00046606020988653954,0.00046606020988653954,0.0022547108359269427,0.002654196170642405,0.0022547108359270945,0.005816935121520473,0.005816935121521176
0.3448275862068966,0.0015366449319125937,0.0015366449319125937,0.0015366449319125937,0.0014485075962320571,0.0014485075962320571,0.0014485075962320571,0.006990868830249311,0.008180498235118416,0.006990868830249103,0.01802478144104247,0.018024781441042345
0.41379310344827586,0.003813255280719153,0.003813255280719153,0.003813255280719153,0.0035085090932750105,0.0035085090932750105,0.0035085090932750105,0.016891384935504128,0.01962863450556182,0.0168913849355036,0.04352723110990848,0.04352723110990786
0.48275862068965514,0.00796236879550078,0.00796236879550078,0.00796236879550078,0.007127365390494312,0.007127365390494312,0.007127365390494312,0.034219513224518355,0.0394501659830481,0.03421951322451855,0.08813142306621545,0.08813142306621624
0.5517241379310345,0.014615502565633,0.014615502565633,0.014615502565633,0.012692472879005181,0.012692472879005181,0.012692472879005181,0.060744221122194034,0.06940911895495061,0.06074422112219356,0.15635478045192466,0.15635478045192377
0.6206896551724138,0.024263331568209232,0.024263331568209232,0.024263331568209232,0.020395925430227325,0.020395925430227325,0.020395925430227325,0.09725493319655407,0.11004374288508505,0.097254933196554,0.25017123293829885,0.2501712329382998
0.6896551724137931,0.03714967481522068,0.03714967481522068,0.03714967481522068,0.030177252005640195,0.030177252005640195,0.030177252005640195,0.14330888395641864,0.16043533579326202,0.14330888395641805,0.3683552307995593,0.36835523079955923
0.7586206896551724,0.053205429409793434,0.053205429409793434,0.053205429409793434,0.041722808411866166,0.041722808411866166,0.041722808411866166,0.19726627180941625,0.218331936836564,0.1972662718094157,0.5065653811548217,0.5065653811548203
0.8275862068965517,0.07203225580778869,0.07203225580778869,0.07203225580778869,0.05451680661131073,0.05451680661131073,0.05451680661131073,0.2565714141611132,0.28055671808045407,0.256571414161113,0.6580633053602475,0.658063305360248
0.896551724137931,0.09293433025804877,0.09293433025804877,0.09293433025804877,0.06792676633431341,0.06792676633431341,0.06792676633431341,0.31817412517724475,0.3435612933139044,0.31817412517724464,0.8148029205440531,0.8148029205440538
0.9655172413793103,0.11498829808658251,0.11498829808658251,0.11498829808658251,0.08130147065534596,0.08130147065534596,0.08130147065534596,0.3789698909060809,0.40397498555759126,0.3789698909060807,0.9685857351695978,0.9685857351695971
1.0344827586206897,0.1371375260263515,0.1371375260263515,0.1371375260263515,0.09406141201063184,0.09406141201063184,0.09406141201063184,0.43616461064324313,0.4590382454804993,0.4361646106432428,1.1120402900551252,1.1120402900551243
1.103448275862069,0.15829625530962005,0.15829625530962005,0.15829625530962005,0.10576773492431298,0.10576773492431298,0.10576773492431298,0.4875203106043031,0.506865797304219,0.4875203106043031,1.2392991374766043,1.239299137476604
1.1724137931034482,0.17745106386669318,0.17745106386669318,0.17745106386669318,0.11616301648698107,0.11616301648698107,0.11616301648698107,0.5314880521619152,0.546538656174503,0.5314880521619156,1.34636117339753,1.3463611733975303
1.2413793103448276,0.1937499293575528,0.1937499293575528,0.1937499293575528,0.12518359476339028,0.12518359476339028,0.12518359476339028,0.567263492089143,0.578059852125136,0.567263492089143,1.4312036585736774,1.4312036585736776
