0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.636543691900210956e-02,2.636543691900210956e-02,2.636543691900210956e-02,-2.491650259388565325e-01,-2.632041304467463427e-01,-2.491650259388564492e-01,-7.746032116956700353e-01,-7.746032116956700353e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.636543691900210956e-02,2.636543691900210956e-02,2.636543691900210956e-02,-2.491650259388565325e-01,-2.632041304467463427e-01,-2.491650259388564492e-01,-7.746032116956700353e-01,-7.746032116956700353e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.636543691900210956e-02,2.636543691900210956e-02,2.636543691900210956e-02,-2.491650259388565325e-01,-2.632041304467463427e-01,-2.491650259388564492e-01,-7.746032116956700353e-01,-7.746032116956700353e-01
-2.636543691900210956e-02,-2.636543691900210956e-02,-2.636543691900210956e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.755304628578586490e-01,-2.895695673657484592e-01,-2.755304628578585935e-01,-8.009686486146723183e-01,-8.009686486146723183e-01
-2.636543691900210956e-02,-2.636543691900210956e-02,-2.636543691900210956e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.755304628578586490e-01,-2.895695673657484592e-01,-2.755304628578585935e-01,-8.009686486146723183e-01,-8.009686486146723183e-01
-2.636543691900210956e-02,-2.636543691900210956e-02,-2.636543691900210956e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.755304628578586490e-01,-2.895695673657484592e-01,-2.755304628578585935e-01,-8.009686486146723183e-01,-8.009686486146723183e-01
2.491650259388565325e-01,2.491650259388565325e-01,2.491650259388565325e-01,2.755304628578586490e-01,2.755304628578586490e-01,2.755304628578586490e-01,0.000000000000000000e+00,-1.403910450788982064e-02,6.415983054945311796e-17,-5.254381857568135583e-01,-5.254381857568136693e-01
2.632041304467463427e-01,2.632041304467463427e-01,2.632041304467463427e-01,2.895695673657484592e-01,2.895695673657484592e-01,2.895695673657484592e-01,1.403910450788982064e-02,0.000000000000000000e+00,1.403910450788988656e-02,-5.113990812489238591e-01,-5.113990812489237481e-01
2.491650259388564492e-01,2.491650259388564492e-01,2.491650259388564492e-01,2.755304628578585935e-01,2.755304628578585935e-01,2.755304628578585935e-01,-6.415983054945311796e-17,-1.403910450788988656e-02,0.000000000000000000e+00,-5.254381857568136693e-01,-5.254381857568136693e-01
7.746032116956700353e-01,7.746032116956700353e-01,7.746032116956700353e-01,8.009686486146723183e-01,8.009686486146723183e-01,8.009686486146723183e-01,5.254381857568135583e-01,5.113990812489238591e-01,5.254381857568136693e-01,0.000000000000000000e+00,3.221092656653916811e-17
7.746032116956700353e-01,7.746032116956700353e-01,7.746032116956700353e-01,8.009686486146723183e-01,8.009686486146723183e-01,8.009686486146723183e-01,5.254381857568136693e-01,5.113990812489237481e-01,5.254381857568136693e-01,-3.221092656653916811e-17,0.000000000000000000e+00
