time,region_1,region_2,region_3,region_4,region_12,region_23,region_34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10526315789473684,2.472963816047681e-06,2.472963816047681e-06,2.472963816047681e-06,2.472963816047681e-06,3.1179827327753005e-05,3.570877036941814e-05,3.11798273277937e-05
0.21052631578947367,0.00011187680686189283,0.00011187680686189283,0.00011187680686189283,0.00011187680686189283,0.0014007718917010436,0.0015943960084404843,0.00140077189170164
0.3157894736842105,0.0009317464654701198,0.0009317464654701198,0.0009317464654701198,0.0009317464654701198,0.011608822912685604,0.013098189521278173,0.011608822912685208
0.42105263157894735,0.0038081375954039454,0.0038081375954039454,0.0038081375954039454,0.0038081375954039454,0.047228854093996235,0.05267663484889478,0.04722885409399606
0.5263157894736842,0.010398455451087668,0.010398455451087668,0.010398455451087668,0.010398455451087668,0.1282812082965607,0.1410398205942412,0.12828120829656076
0.631578947368421,0.021807410128375535,0.021807410128375535,0.021807410128375535,0.021807410128375535,0.267288804964187,0.2889012315731139,0.267288804964188
0.7368421052631579,0.037914317404947585,0.037914317404947585,0.037914317404947585,0.037914317404947585,0.4611282611853605,0.4887827755353873,0.46112826118536016
0.8421052631578947,0.05731097164884976,0.05731097164884976,0.05731097164884976,0.05731097164884976,0.690905453253082,0.7168056589413173,0.6909054532530827
0.9473684210526315,0.07781979532541045,0.07781979532541045,0.07781979532541045,0.07781979532541045,0.9288394466576224,0.9422839365441329,0.9288394466576222
1.0526315789473684,0.09725809806246133,0.09725809806246133,0.09725809806246133,0.09725809806246133,1.1472977597838754,1.1386772063995252,1.1472977597838747
1.1578947368421053,0.11408951349054752,0.11408951349054752,0.11408951349054752,0.11408951349054752,1.325630094955451,1.2905851633749401,1.3256300949554516
1.263157894736842,0.12776099894353943,0.12776099894353943,0.12776099894353943,0.12776099894353943,1.4533142120085865,1.395269186634513,1.4533142120085865
1.3684210526315788,0.1387034068186594,0.1387034068186594,0.1387034068186594,0.1387034068186594,1.5302952458818218,1.4603265345488756,1.5302952458818229
1.4736842105263157,0.14807488247311348,0.14807488247311348,0.14807488247311348,0.14807488247311348,1.5659627209802078,1.5000357538608151,1.5659627209802076
1.5789473684210527,0.15734676386306845,0.15734676386306845,0.15734676386306845,0.15734676386306845,1.5773718347834889,1.5317909068425153,1.5773718347834893
1.6842105263157894,0.16783061227695695,0.16783061227695695,0.16783061227695695,0.16783061227695695,1.5860685043966831,1.5724004477875857,1.5860685043966836
1.789473684210526,0.1802624184806961,0.1802624184806961,0.1802624184806961,0.1802624184806961,1.6124761839282875,1.633754413140793,1.612476183928287
1.894736842105263,0.1945721880091047,0.1945721880091047,0.1945721880091047,0.1945721880091047,1.6689118680724375,1.7191907418801782,1.6689118680724366
2.0,0.20992699819518312,0.20992699819518312,0.20992699819518312,0.20992699819518312,1.7555346842839383,1.8230467503810397,1.7555346842839397
